0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
Год,Код МО,МО,РЕГИОН,АГ,ИБС,ЦВЗ,ССС,СД,ЭК(СД-),ЗНО,ХОБЛ-БА,БОД(ХОБЛБА-),ЯБЖДК,ЖКТ(ЯБ-),ОХ,КМС(ОХ-),Z00-Z99,ПРОЧИЕ,1 этап (М),1 этап (Ж),1 этап,2 этап (М),2 этап (Ж),2 этап,ЗНО(М),ЗНО(Ж),СД(М),СД(Ж),Экр(М),Экр(Ж),АГ(М),АГ(Ж),ИБС(М),ИБС(Ж),ЦВЗ(М),ЦВЗ(Ж),ССС(М),ССС(Ж),ХОБЛБА(М),ХОБЛБА(Ж),БОДых(М),БОДых(Ж),ЯБЖ(М),ЯБЖ(Ж),ЯБДК(М),ЯБДК(Ж),ЖКТ(М),ЖКТ(Ж),ОХ(М),ОХ(Ж),КМС(М),КМС(Ж),Z00-Z99(М),Z00-Z99(Ж),ИНЫЕ(М),ИНЫЕ(Ж),I группа здоровья ОНКО,II группа здоровья ОНКО,III группа здоровья ОНКО,Направлены на 2 этап ОНКО,Проведен 2 этап ОНКО,I группа здоровья Диабет,II группа здоровья Диабет,III группа здоровья Диабет,Направлены на 2 этап Диабет,Проведен 2 этап Диабет,I группа здоровья Эндокринные заболевания (иные),II группа здоровья Эндокринные заболевания (иные),III группа здоровья Эндокринные заболевания (иные),Направлены на 2 этап Эндокринные заболевания (иные),Проведен 2 этап Эндокринные заболевания (иные),I группа здоровья ГБ,II группа здоровья ГБ,III группа здоровья ГБ,Направлены на 2 этап ГБ,Проведен 2 этап ГБ,I группа здоровья ОКС и ИБС,II группа здоровья ОКС и ИБС,III группа здоровья ОКС и ИБС,Направлены на 2 этап ОКС и ИБС,Проведен 2 этап ОКС и ИБС,I группа здоровья ОНМК и ЦВБ,II группа здоровья ОНМК и ЦВБ,III группа здоровья ОНМК и ЦВБ,Направлены на 2 этап ОНМК и ЦВБ,Проведен 2 этап ОНМК и ЦВБ,I группа здоровья ССС,II группа здоровья ССС,III группа здоровья ССС,Направлены на 2 этап ССС,Проведен 2 этап ССС,I группа здоровья ХОБЛ J44 и БА J45,II группа здоровья ХОБЛ J44 и БА J45,III группа здоровья ХОБЛ J44 и БА J45,Направлены на 2 этап ХОБЛ J44 и БА J45,Проведен 2 этап ХОБЛ J44 и БА J45,I группа здоровья Заболевания бронхов и легких,II группа здоровья Заболевания бронхов и легких,III группа здоровья Заболевания бронхов и легких,Направлены на 2 этап Заболевания бронхов и легких,Проведен 2 этап Заболевания бронхов и легких,I группа здоровья ЯБЖ,II группа здоровья ЯБЖ,III группа здоровья ЯБЖ,Направлены на 2 этап ЯБЖ,Проведен 2 этап ЯБЖ,I группа здоровья ЯБДК,II группа здоровья ЯБДК,III группа здоровья ЯБДК,Направлены на 2 этап ЯБДК,Проведен 2 этап ЯБДК,I группа здоровья Заболевания ЖКТ,II группа здоровья Заболевания ЖКТ,III группа здоровья Заболевания ЖКТ,Направлены на 2 этап Заболевания ЖКТ,Проведен 2 этап Заболевания ЖКТ,I группа здоровья Остеохондроз,II группа здоровья Остеохондроз,III группа здоровья Остеохондроз,Направлены на 2 этап Остеохондроз,Проведен 2 этап Остеохондроз,I группа здоровья Заболевания костно-мышечной системы,II группа здоровья Заболевания костно-мышечной системы,III группа здоровья Заболевания костно-мышечной системы,Направлены на 2 этап Заболевания костно-мышечной системы,Проведен 2 этап Заболевания костно-мышечной системы,I группа здоровья Z00-Z99,II группа здоровья Z00-Z99,III группа здоровья Z00-Z99,Направлены на 2 этап Z00-Z99,Проведен 2 этап Z00-Z99,I группа здоровья Иные заболевания,II группа здоровья Иные заболевания,III группа здоровья Иные заболевания,Направлены на 2 этап Иные заболевания,Проведен 2 этап Иные заболевания
2025,010013,"ГБУЗ РА МГП""",Адыгея,22070,827,3945,236,451,1122,9,129,98,15,893,9231,513,11497,1981,18770,34211,52981,4542,8172,12714,1,8,188,263,314,808,7277,14793,503,324,1389,2556,100,136,48,81,47,51,1,2,7,5,336,557,3412,5819,175,338,4448,7049,535,1446,0,0,9,0,3,0,18,433,109,105,5,460,657,370,4837,23,345,21702,7328,4247,0,7,820,244,141,5,34,3906,1278,1247,0,21,215,62,32,1,6,122,22,12,0,12,86,18,100,0,0,3,1,1,0,3,9,0,0,1,318,574,82,151,32,7833,1366,391,269,1,293,219,54,37,8765,2164,568,225,887,27,1330,624,201,663
2025,010021,"ГБУЗ РА ХАНСКАЯ ПОЛИКЛИНИКА""",Адыгея,1771,58,513,85,156,170,9,20,4,2,71,37,33,990,694,1782,2646,4428,432,796,1228,6,3,76,80,60,110,595,1176,42,16,193,320,35,50,9,11,2,2,1,0,0,1,41,30,13,24,16,17,482,508,283,411,0,2,7,3,2,0,1,155,65,59,0,95,75,31,44,1,2,1768,822,688,0,0,58,23,14,0,1,512,307,289,0,7,78,32,123,0,0,20,1,1,0,1,3,0,0,0,0,1,1,1,0,0,1,0,0,0,15,56,6,5,0,36,1,0,0,0,8,25,5,4,707,215,68,1,1,3,474,217,33,46
2025,010022,"ГБУЗ РА ГИАГИНСКАЯ ЦРБ""",Адыгея,5113,573,34,72,15,62,0,94,53,8,643,8,29,3894,87,4433,6247,10680,1076,1748,2824,0,0,5,10,21,41,1771,3342,268,305,10,24,35,37,52,42,27,26,2,2,3,1,263,380,3,5,12,17,1937,1957,25,62,0,0,0,0,0,0,0,15,6,41,1,9,52,32,105,11,11,5091,1750,2099,0,2,571,197,199,0,0,34,14,14,0,1,71,17,18,0,1,93,45,36,0,1,52,17,28,0,0,4,3,3,0,0,4,0,0,1,12,630,220,242,1,0,7,1,0,0,3,26,6,2,2157,1671,66,6,29,0,2,85,13,10
2025,010023,"ГБУЗ РА КОШЕХАБЛЬСКАЯ ЦРБ""",Адыгея,4421,784,284,68,142,205,38,95,199,33,560,1176,117,2027,234,4311,5372,9683,1055,1456,2511,16,22,55,87,66,139,1566,2855,422,362,117,167,23,45,49,46,114,85,5,4,15,9,287,273,628,548,56,61,1080,947,67,167,0,0,38,14,10,1,4,137,40,36,1,37,167,36,38,15,182,4224,1742,1815,1,27,756,317,320,2,43,239,80,76,0,3,65,18,22,0,2,93,21,21,2,8,189,52,54,2,0,7,2,2,0,0,24,4,2,3,18,539,47,52,4,190,982,169,163,1,49,67,15,9,1914,85,28,5,2,0,52,182,31,27
2025,010024,"ГБУЗ РА КРАСНОГВАРДЕЙСКАЯ ЦРБ""",Адыгея,5601,360,199,80,368,24,82,43,9,16,809,961,35,1137,392,3857,5149,9006,910,1367,2277,33,49,144,224,4,20,2157,3444,177,183,80,119,38,42,19,24,5,4,1,0,10,5,400,409,513,448,12,23,583,554,122,270,1,9,72,29,12,1,21,346,109,69,0,17,7,2,1,8,666,4927,1418,2057,0,64,296,89,113,0,21,178,57,54,0,15,65,21,22,0,14,29,6,8,0,2,7,3,3,0,1,0,0,0,0,9,6,3,2,9,672,128,44,97,20,847,94,48,47,0,20,15,5,4,1106,19,12,2,4,3,335,54,22,384
2025,010025,"ГБУЗ РА ЦРБ МАЙКОПСКОГО РАЙОНА""",Адыгея,7873,359,1277,84,120,512,17,36,23,8,565,188,2658,2299,2815,7485,11349,18834,2439,4291,6730,9,8,48,72,178,334,2685,5188,207,152,480,797,37,47,21,15,19,4,1,1,5,1,262,303,91,97,1030,1628,1155,1144,1257,1558,0,0,17,5,6,0,28,92,9,101,0,41,471,424,3799,2,789,7082,3331,1260,1,17,341,151,55,0,496,781,209,131,0,17,67,34,15,1,10,25,7,2,0,14,9,1,1,0,2,0,0,0,0,5,1,0,0,1,528,36,14,4,0,183,5,0,2,4,2461,193,90,57,2086,116,97,57,1233,7,2684,124,58,64
2025,010026,"ГБУЗ РА ШЦРБ""",Адыгея,3837,402,70,59,265,548,46,41,519,61,684,56,307,580,1874,2655,3150,5805,330,406,736,17,29,110,155,280,268,1617,2220,205,197,31,39,18,41,20,21,294,225,0,0,39,22,331,353,30,26,145,162,331,249,703,1171,0,0,46,2,6,0,3,262,24,13,1,318,229,56,3,1,174,3662,1443,354,0,4,398,22,4,0,0,70,6,0,0,1,58,7,1,0,2,39,9,2,0,9,510,311,34,0,0,0,0,0,0,2,59,13,1,0,19,665,348,85,0,10,46,7,2,0,15,292,59,7,522,9,49,41,0,1,144,1729,1395,549
2025,010027,"ГБУЗ РА ТАХТАМУКАЙСКАЯ ЦРБ""",Адыгея,15420,349,35,81,55,59,27,95,72,12,4623,146,62,9289,260,12065,18393,30458,2963,5241,8204,8,19,17,38,19,40,5491,9929,185,164,20,15,41,40,43,52,48,24,3,1,7,1,1801,2822,73,73,27,35,4237,5052,97,163,0,1,26,4,5,0,1,54,6,9,2,18,39,6,1632,20,27,15373,7315,6298,0,8,341,126,104,0,2,33,8,11,0,0,81,41,20,0,2,93,5,3,1,0,71,13,10,0,0,4,0,1,0,0,8,0,0,12,59,4552,187,96,1,3,142,2,3,0,0,62,15,2,8966,184,139,45,6,4,8,248,14,23
2025,010033,"ГБУЗ РА АМБ ИМ. К.М. БАТМЕНА""",Адыгея,6461,1154,9,188,24,13,0,7,12,3,505,746,6,1495,420,5047,5996,11043,1119,1382,2501,0,0,8,16,7,6,2776,3685,507,647,5,4,63,125,4,3,9,3,1,1,1,0,311,194,412,334,2,4,791,704,150,270,0,0,0,0,1,0,0,24,3,5,0,3,10,2,1329,5,92,6364,1961,321,0,6,1148,315,147,0,0,9,2,84,1,12,175,22,52,0,0,7,0,0,1,0,11,4,2,0,0,2,1,2,0,0,1,1,0,1,55,449,154,190,1,467,278,79,78,0,0,6,2,3,1238,218,39,5,8,3,280,137,17,281
