0,1,2,3,4,5,6,7,8,9,10,11
Названия строк,Сумма по полю 1 этап,Z00-Z99,Костно-мышечной системы M00-M99,"Заболевания ЖКТ K00-K24, K27-K99 (без ЯБЖДК)",Язвенная болезнь желудка K25 и двенадцатиперстной кишки K26,ХОБЛ J44 и БА J45,Цереброваскулярные заболевания I60-I69,Сахарный Диабет E11-E14,"ССС I00-I09, I16-I19, I26-I59, I70-I99",ИБС I20-I25,Гипертония I10-15
"БУЗ ВО АННИНСКАЯ РБ""",5179,535,57,252,124,125,258,546,220,623,3771
"БУЗ ВО БОБРОВСКАЯ РБ""",7614,1057,955,588,62,142,714,613,193,744,4135
"БУЗ ВО БОГУЧАРСКАЯ РБ""",5524,877,287,486,134,126,145,714,288,518,3358
"БУЗ ВО БОРИСОГЛЕБСКАЯ РБ""",21759,3561,222,3873,245,948,4786,1965,920,3182,15418
"БУЗ ВО БУТУРЛИНОВСКАЯ РБ""",8397,1526,472,1441,77,175,1258,636,612,1825,5716
"БУЗ ВО ВГБ №14""",247,37,24,47,0,2,10,18,1,15,148
"БУЗ ВО ВГБ №4""",3101,283,257,350,4,61,657,235,33,279,2094
"БУЗ ВО ВГКБ № 11""",12538,793,864,2405,22,136,422,752,202,995,7617
"БУЗ ВО ВГКБ № 20""",4071,301,630,918,9,72,688,307,102,329,2900
"БУЗ ВО ВГКБ №5""",3190,866,488,554,11,70,676,243,149,315,1981
"БУЗ ВО ВГКП № 18""",10350,156,1639,1553,9,97,359,598,57,179,6381
"БУЗ ВО ВГКП № 7""",29930,924,1300,8241,19,158,914,643,132,729,19919
"БУЗ ВО ВГКП №1""",17300,3996,583,2088,42,179,1711,715,1034,934,9634
"БУЗ ВО ВГКП №4""",44432,4203,2962,6764,39,508,2433,2895,610,1879,29500
"БУЗ ВО ВГП № 22""",3296,387,126,249,11,44,70,359,16,140,2434
"БУЗ ВО ВГП № 3""",30942,1989,4679,3299,18,258,2597,1540,667,1020,17311
"БУЗ ВО ВГП №10""",18460,1586,2547,2834,73,408,1519,1402,1158,2015,11094
"БУЗ ВО ВГП №16""",11325,1983,1124,1052,14,126,569,667,167,366,6604
"БУЗ ВО ВЕРХНЕМАМОНСКАЯ РБ""",4058,462,197,130,30,48,398,357,66,160,2229
"БУЗ ВО ВЕРХНЕХАВСКАЯ РБ""",6162,1241,52,552,11,339,850,886,121,312,4053
"БУЗ ВО ВОКБ №2""",2194,151,145,830,43,72,121,273,224,381,1511
"БУЗ ВО ВОРОБЬЕВСКАЯ РБ""",2960,407,516,2244,72,171,68,262,77,527,2035
"БУЗ ВО ГРИБАНОВСКАЯ РБ""",5881,803,226,1011,104,260,612,640,377,1191,3407
"БУЗ ВО КАЛАЧЕЕВСКАЯ РБ""",10969,1912,578,539,131,204,3031,992,372,1121,6186
"БУЗ ВО КАМЕНСКАЯ РБ""",1996,86,87,589,53,106,622,201,138,403,1510
"БУЗ ВО КАНТЕМИРОВСКАЯ РБ""",5109,478,154,364,111,101,1770,491,160,639,2551
"БУЗ ВО КАШИРСКАЯ РБ""",3285,365,33,529,20,94,584,303,137,334,2479
"БУЗ ВО ЛИСКИНСКАЯ РБ""",17080,3214,632,1096,99,299,916,1300,311,965,10274
"БУЗ ВО НИЖНЕДЕВИЦКАЯ РБ""",4877,375,139,305,8,51,109,345,48,866,3093
"БУЗ ВО НОВОУСМАНСКАЯ РБ""",23307,5249,878,1531,118,351,1408,1743,525,1102,14241
"БУЗ ВО НОВОХОПЕРСКАЯ РБ""",10376,916,325,711,84,140,1722,914,294,1440,6491
"БУЗ ВО ОЛЬХОВАТСКАЯ РБ""",4443,401,40,151,35,95,16,452,851,106,2600
"БУЗ ВО ОСТРОГОЖСКАЯ РБ""",8312,1485,1579,267,78,216,651,734,272,723,4874
