0,1,2
,,
,ЗНО,"Онкологические заболевания 
С00-D09"
,СД,Сахарный Диабет E11-E14
,Экр,"Эндокринные заболевания (иные)
E00-E10
E15-E99"
,АГ,Гипертония I10-15
,ИБС,ИБС I20-I25
,ЦВЗ,ЦВЗ I60-I69
,ССС,"ССС I00-I09, I16-I19, I26-I59, I70-I99"
,ХОБЛ-БА,ХОБЛ J44 и БА J45
,БОДых,Заболевания бронхов и легких J00-J43 J46-J99
,ЯБЖ,Заболевания ЖКТ ЯБЖ K25
,ЯБДК,Заболевания ЖКТ ЯБДК K26
,ЯБЖДК,Язвенная болезнь желудка K25 и двенадцатиперстной кишки K26
,ЖКТ,"Заболевания ЖКТ K00-K24, K27-K99 (без ЯБЖДК)"
,КМС_ОХ,"Заболевания костно-мышечной системы, Остеохондроз у взрослых М42"
,КМС,КМС M00-M99
,Z00-Z99,"Факторы, влияющие на здоровье Z00-Z99"
,ПРОЧИЕ,Иные заболевания после диспансеризации
